gnd_contradictions,gnd_chain_of_custody,gnd_illegal_search_or_raid,gnd_wrong_identification,gnd_dying_declaration_validity,gnd_circumstantial_insufficient,gnd_medical_inconsistency,gnd_misdirection_on_law,gnd_procedural_error,gnd_new_evidence,gnd_sentence_excessive_or_inadequate,gnd_delay_prejudice,gnd_judicial_bias_or_unfair_trial,gnd_other,eyewitness_present,child_witness_present,expert_evidence_present,forensic_evidence_present,dying_declaration_present,confession_present,procedural_defects_present,digital_evidence_present,hospital_treatment_details_present,total_grounds_raised,coa_year,appeal_duration_days,brief_facts_summary_length,brief_facts_summary_word_count,grounds_of_appeal_raw_text_summary_length,grounds_of_appeal_raw_text_summary_word_count,court_of_appeal_analysis_summary_length,court_of_appeal_analysis_summary_word_count,murder_with_eyewitness,drug_with_forensic,medical_evidence_score,custody_quality_score,evidence_count,grounds_to_evidence_ratio,offence_category_grouped_Customs,offence_category_grouped_Drug_Related,offence_category_grouped_Environmental,offence_category_grouped_Firearms_Weapons,offence_category_grouped_Fraud_Corruption,offence_category_grouped_Murder_Related,offence_category_grouped_Other,offence_category_grouped_Robbery_Theft,offence_category_grouped_Sexual_Offenses,offence_category_grouped_Traffic_Vehicle,medical_evidence_strength_Strong,medical_evidence_strength_Unknown,medical_evidence_strength_Weak,chain_of_custody_quality_Moderate,chain_of_custody_quality_Unknown,chain_of_custody_quality_Weak,appeal_type_simplified_Conviction_Only,appeal_type_simplified_Other,appeal_type_simplified_Revision,appeal_type_simplified_Sentence_Only,appeal_type_simplified_Writ
0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,-0.18496887366843268,0.008497564225072739,0.5057988714329399,2.2541639536177036,2.418638426109646,1.0279046000336791,0.7101559213754004,1.5922040116084304,1.4783218833937164,-0.6455703229723349,2.400450408186381,-0.8802975015642299,-0.6210398698964571,1.4105022282057802,-0.8346437972759149,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7907177243469907,0.008497564225072739,-1.0568010332276316,2.578332374886701,2.6802428417298403,2.283139555414052,2.2338792998847357,0.6665010567701494,0.5620425200000476,-0.6455703229723349,-0.41658848547324623,-0.8802975015642299,-0.6210398698964571,-1.092388959716817,-0.020711571427789968,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.3964665750255487,0.008497564225072739,-0.7816531619187762,1.0235245765779903,0.923756051137107,1.2105913775773014,1.267615694000767,0.8287756783354258,0.8204802891623644,-0.6455703229723349,-0.41658848547324623,-0.8802975015642299,-0.6210398698964571,-1.092388959716817,-0.8346437972759149,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,-1.3964665750255487,0.008497564225072739,0.11322028869320222,1.041533933315157,0.923756051137107,1.6113236638020214,1.4162716333675314,1.2713428280589067,1.2668727995336388,-0.6455703229723349,-0.41658848547324623,-0.8802975015642299,-0.6210398698964571,-1.092388959716817,-0.8346437972759149,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,-0.18496887366843268,0.008497564225072739,0.6249438998190174,1.0835557657018788,1.1106163480086744,1.6054305419457755,1.564927572734296,1.3414159600984579,1.2433784568825192,-0.6455703229723349,2.400450408186381,-0.8802975015642299,1.943055434527529,1.4105022282057802,-0.8346437972759149,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0.4207799770101253,0.008497564225072739,-1.0568010332276316,1.0715495278771012,1.073244288634361,1.7173998572144473,1.6764195272593692,0.9615458232524701,0.8204802891623644,1.5490179216972058,-0.41658848547324623,1.3686858363326762,-0.6210398698964571,0.15905663424448158,-0.020711571427789968,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,-0.18496887366843268,0.008497564225072739,-1.0568010332276316,1.0895588846142676,1.1106163480086744,-0.15071977121549726,0.041204194224960376,1.7618547523357648,1.830737023160512,-0.6455703229723349,-0.41658848547324623,1.3686858363326762,-0.6210398698964571,0.15905663424448158,-0.42767768435185244,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1.6322776783672412,0.008497564225072739,0.9189492576350218,2.164117169931871,2.044917832366511,3.626771338638113,3.348798845135469,1.437305509205212,1.4783218833937164,1.5490179216972058,-0.41658848547324623,1.3686858363326762,0.23365856491153825,0.15905663424448158,0.793220654420335,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,-0.18496887366843268,0.008497564225072739,-0.10964091548219469,1.4077241869708763,1.6711972386233764,1.8941935129018237,1.7507474969427514,1.5663875945412273,1.5253105686959558,-0.6455703229723349,2.400450408186381,-0.8802975015642299,1.943055434527529,1.4105022282057802,-0.8346437972759149,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-1.3964665750255487,0.008497564225072739,-0.4747904269388066,-0.46524891369444293,-0.23477778946661057,-0.616276397858922,-0.6277475329254796,-0.893548146005121,-0.8006293537648956,-0.6455703229723349,-0.41658848547324623,0.6190247237003741,-0.6210398698964571,-1.092388959716817,-0.8346437972759149,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
