iter	Passed	Remaining
0	202	60459
1	234	34899
2	265	26300
3	298	22107
4	331	19575
5	364	17873
6	397	16643
7	430	15718
8	463	14995
9	496	14399
10	530	13941
11	566	13604
12	602	13297
13	633	12951
14	666	12658
15	698	12401
16	738	12290
17	771	12090
18	807	11945
19	841	11784
20	876	11641
21	908	11484
22	941	11340
23	975	11216
24	1009	11099
25	1042	10982
26	1091	11040
27	1134	11018
28	1175	10987
29	1218	10966
30	1258	10916
31	1297	10867
32	1336	10813
33	1381	10804
34	1416	10724
35	1450	10639
36	1485	10559
37	1521	10490
38	1557	10424
39	1595	10370
40	1632	10315
41	1670	10263
42	1713	10239
43	1751	10192
44	1796	10181
45	1844	10185
46	1886	10157
47	1928	10122
48	1969	10086
49	2018	10091
50	2056	10042
51	2093	9985
52	2130	9930
53	2166	9867
54	2204	9819
55	2240	9760
56	2277	9709
57	2311	9645
58	2346	9586
59	2381	9526
60	2417	9471
61	2453	9416
62	2488	9359
63	2523	9303
64	2558	9248
65	2596	9205
66	2638	9175
67	2674	9123
68	2709	9072
69	2745	9019
70	2781	8971
71	2822	8937
72	2859	8892
73	2900	8858
74	2940	8822
75	2984	8796
76	3033	8786
77	3082	8773
78	3131	8759
79	3188	8767
80	3245	8775
81	3302	8779
82	3370	8812
83	3423	8802
84	3480	8803
85	3537	8803
86	3612	8844
87	3663	8824
88	3724	8830
89	3780	8821
90	3835	8808
91	3900	8817
92	3964	8824
93	4032	8837
94	4092	8831
95	4154	8828
96	4212	8815
97	4265	8792
98	4313	8757
99	4364	8728
100	4414	8698
101	4470	8678
102	4523	8650
103	4574	8621
104	4636	8611
105	4688	8580
106	4742	8554
107	4799	8533
108	4856	8510
109	4921	8500
110	4970	8462
111	5018	8423
112	5067	8385
113	5124	8360
114	5176	8327
115	5222	8283
116	5266	8237
117	5312	8193
118	5351	8139
119	5388	8082
120	5428	8030
121	5464	7973
122	5498	7912
123	5531	7851
124	5563	7788
125	5601	7735
126	5636	7678
127	5673	7624
128	5707	7565
129	5740	7506
130	5773	7448
131	5811	7396
132	5849	7345
133	5891	7298
134	5927	7244
135	5962	7190
136	5995	7133
137	6028	7076
138	6064	7023
139	6098	6969
140	6133	6916
141	6167	6862
142	6199	6806
143	6233	6753
144	6266	6698
145	6299	6645
146	6335	6594
147	6370	6542
148	6403	6489
149	6437	6437
150	6472	6386
151	6506	6335
152	6541	6285
153	6578	6237
154	6611	6184
155	6647	6136
156	6682	6086
157	6715	6035
158	6748	5984
159	6783	5935
160	6819	5887
161	6851	5836
162	6883	5785
163	6916	5735
164	6948	5684
165	6980	5634
166	7012	5584
167	7044	5534
168	7076	5485
169	7109	5437
170	7143	5389
171	7175	5339
172	7208	5291
173	7240	5243
174	7271	5193
175	7301	5144
176	7334	5096
177	7371	5052
178	7405	5005
179	7436	4957
180	7465	4908
181	7499	4862
182	7530	4814
183	7562	4767
184	7595	4721
185	7628	4675
186	7659	4628
187	7691	4582
188	7724	4536
189	7756	4490
190	7788	4444
191	7822	4400
192	7855	4355
193	7887	4309
194	7920	4264
195	7951	4219
196	7984	4174
197	8016	4129
198	8049	4085
199	8083	4041
200	8119	3999
201	8154	3956
202	8189	3912
203	8220	3868
204	8253	3824
205	8287	3781
206	8321	3738
207	8361	3698
208	8396	3655
209	8429	3612
210	8462	3569
211	8493	3525
212	8524	3481
213	8559	3439
214	8593	3397
215	8624	3354
216	8655	3310
217	8684	3266
218	8716	3224
219	8748	3181
220	8779	3138
221	8812	3096
222	8844	3054
223	8876	3011
224	8909	2969
225	8941	2927
226	8973	2885
227	9005	2843
228	9037	2801
229	9069	2760
230	9102	2718
231	9131	2676
232	9162	2634
233	9195	2593
234	9228	2552
235	9259	2511
236	9291	2469
237	9324	2429
238	9356	2388
239	9388	2347
240	9420	2306
241	9451	2265
242	9483	2224
243	9514	2183
244	9547	2143
245	9587	2104
246	9622	2064
247	9657	2025
248	9690	1984
249	9731	1946
250	9764	1906
251	9799	1866
252	9836	1827
253	9871	1787
254	9903	1747
255	9934	1707
256	9967	1667
257	9999	1627
258	10030	1587
259	10063	1548
260	10103	1509
261	10135	1469
262	10167	1430
263	10199	1390
264	10231	1351
265	10263	1311
266	10298	1272
267	10331	1233
268	10364	1194
269	10395	1155
270	10427	1115
271	10458	1076
272	10491	1037
273	10523	998
274	10557	959
275	10590	920
276	10623	882
277	10655	843
278	10687	804
279	10718	765
280	10747	726
281	10780	688
282	10817	649
283	10848	611
284	10884	572
285	10917	534
286	10952	496
287	10988	457
288	11026	419
289	11059	381
290	11091	343
291	11122	304
292	11154	266
293	11186	228
294	11219	190
295	11251	152
296	11284	113
297	11316	75
298	11348	37
299	11381	0
